,Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4
2260,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2261,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2262,Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes
2263,Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes
2264,Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes
2265,Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes
2266,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2267,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2268,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2269,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2270,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2271,Hepatitis D, vomiting, fatigue, yellowish skin, dark urine
2272,Hepatitis D, joint pain, fatigue, yellowish skin, dark urine
2273,Hepatitis D, joint pain, vomiting, yellowish skin, dark urine
2274,Hepatitis D, joint pain, vomiting, fatigue, dark urine
2275,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2276,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2277,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2278,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2279,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2280,Hepatitis E, joint pain, vomiting, fatigue, high fever
2281,Hepatitis E, joint pain, vomiting, fatigue, high fever
2282,Hepatitis E, joint pain, vomiting, fatigue, high fever
2283,Hepatitis E, vomiting, fatigue, high fever, yellowish skin
2284,Hepatitis E, joint pain, fatigue, high fever, yellowish skin
2285,Hepatitis E, joint pain, vomiting, high fever, yellowish skin
2286,Hepatitis E, joint pain, vomiting, fatigue, yellowish skin
2287,Hepatitis E, joint pain, vomiting, fatigue, high fever
2288,Hepatitis E, joint pain, vomiting, fatigue, high fever
2289,Hepatitis E, joint pain, vomiting, fatigue, high fever
2290,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2291,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2292,Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen
2293,Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention of abdomen
2294,Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention of abdomen
2295,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention of abdomen
2296,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2297,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2298,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2299,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2300,Tuberculosis, chills, vomiting, fatigue, weight loss
2301,Tuberculosis, chills, vomiting, fatigue, weight loss
2302,Tuberculosis, vomiting, fatigue, weight loss, cough
2303,Tuberculosis, chills, fatigue, weight loss, cough
2304,Tuberculosis, chills, vomiting, weight loss, cough
2305,Tuberculosis, chills, vomiting, fatigue, cough
2306,Tuberculosis, chills, vomiting, fatigue, weight loss
2307,Tuberculosis, chills, vomiting, fatigue, weight loss
2308,Tuberculosis, chills, vomiting, fatigue, weight loss
2309,Tuberculosis, chills, vomiting, fatigue, weight loss
2310,Common Cold, continuous sneezing, chills, fatigue, cough
2311,Common Cold, continuous sneezing, chills, fatigue, cough
2312,Common Cold, chills, fatigue, cough, high fever
2313,Common Cold, continuous sneezing, fatigue, cough, high fever
2314,Common Cold, continuous sneezing, chills, cough, high fever
2315,Common Cold, continuous sneezing, chills, fatigue, high fever
2316,Common Cold, continuous sneezing, chills, fatigue, cough
2317,Common Cold, continuous sneezing, chills, fatigue, cough
2318,Common Cold, continuous sneezing, chills, fatigue, cough
2319,Common Cold, continuous sneezing, chills, fatigue, cough
2320,Pneumonia, chills, fatigue, cough, high fever
2321,Pneumonia, chills, fatigue, cough, high fever
2322,Pneumonia, chills, fatigue, cough, high fever
2323,Pneumonia, fatigue, cough, high fever, breathlessness
2324,Pneumonia, chills, cough, high fever, breathlessness
2325,Pneumonia, chills, fatigue, high fever, breathlessness
2326,Pneumonia, chills, fatigue, cough, breathlessness
2327,Pneumonia, chills, fatigue, cough, high fever
2328,Pneumonia, chills, fatigue, cough, high fever
2329,Pneumonia, chills, fatigue, cough, high fever
2330,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2331,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2332,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2333,Dimorphic hemmorhoids(piles), pain during bowel movements, pain in anal region, bloody stool, irritation in anus
2334,Dimorphic hemmorhoids(piles), constipation, pain in anal region, bloody stool, irritation in anus
2335,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, bloody stool, irritation in anus
2336,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, irritation in anus
2337,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2338,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2339,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2340,Heart attack, vomiting, breathlessness, sweating, chest pain
2341,Heart attack, vomiting, breathlessness, sweating, chest pain
2342,Heart attack, breathlessness, sweating, chest pain,
2343,Heart attack, vomiting, sweating, chest pain,
2344,Heart attack, vomiting, breathlessness, chest pain,
2345,Heart attack, vomiting, breathlessness, sweating,
2346,Heart attack, vomiting, breathlessness, sweating, chest pain
2347,Heart attack, breathlessness, sweating, chest pain,
2348,Heart attack, vomiting, sweating, chest pain,
2349,Heart attack, vomiting, breathlessness, chest pain,
2350,Varicose veins, fatigue, cramps, bruising, obesity
2351,Varicose veins, fatigue, cramps, bruising, obesity
2352,Varicose veins, cramps, bruising, obesity, swollen legs
2353,Varicose veins, fatigue, bruising, obesity, swollen legs
2354,Varicose veins, fatigue, cramps, obesity, swollen legs
2355,Varicose veins, fatigue, cramps, bruising, swollen legs
2356,Varicose veins, fatigue, cramps, bruising, obesity
2357,Varicose veins, fatigue, cramps, bruising, obesity
2358,Varicose veins, fatigue, cramps, bruising, obesity
2359,Varicose veins, fatigue, cramps, bruising, obesity
2360,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2361,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2362,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
2363,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
2364,Hypothyroidism, fatigue, cold hands and feets, mood swings, lethargy
2365,Hypothyroidism, fatigue, weight gain, mood swings, lethargy
2366,Hypothyroidism, fatigue, weight gain, cold hands and feets, lethargy
2367,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2368,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2369,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2370,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2371,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2372,Hyperthyroidism, mood swings, weight loss, restlessness, sweating
2373,Hyperthyroidism, fatigue, weight loss, restlessness, sweating
2374,Hyperthyroidism, fatigue, mood swings, restlessness, sweating
2375,Hyperthyroidism, fatigue, mood swings, weight loss, sweating
2376,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2377,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2378,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2379,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2380,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2381,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2382,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2383,Hypoglycemia, fatigue, anxiety, sweating, headache
2384,Hypoglycemia, vomiting, anxiety, sweating, headache
2385,Hypoglycemia, vomiting, fatigue, sweating, headache
2386,Hypoglycemia, vomiting, fatigue, anxiety, headache
2387,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2388,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2389,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2390,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2391,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2392,Osteoarthristis, neck pain, knee pain, hip joint pain, swelling joints
2393,Osteoarthristis, joint pain, knee pain, hip joint pain, swelling joints
2394,Osteoarthristis, joint pain, neck pain, hip joint pain, swelling joints
2395,Osteoarthristis, joint pain, neck pain, knee pain, swelling joints
2396,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2397,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2398,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2399,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2400,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2401,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2402,Arthritis, stiff neck, swelling joints, movement stiffness, painful walking
2403,Arthritis, muscle weakness, swelling joints, movement stiffness, painful walking
2404,Arthritis, muscle weakness, stiff neck, movement stiffness, painful walking
2405,Arthritis, muscle weakness, stiff neck, swelling joints, painful walking
2406,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2407,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2408,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2409,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2410,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2411,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2412,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning movements, loss of balance
2413,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning movements, loss of balance
2414,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning movements, loss of balance
2415,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
2416,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2417,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2418,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2419,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
2420,Acne, skin rash, pus filled pimples, blackheads, scurring
2421,Acne, skin rash, pus filled pimples, blackheads, scurring
2422,Acne, pus filled pimples, blackheads, scurring,
2423,Acne, skin rash, blackheads, scurring,
2424,Acne, skin rash, pus filled pimples, scurring,
2425,Acne, skin rash, pus filled pimples, blackheads,
2426,Acne, skin rash, pus filled pimples, blackheads, scurring
2427,Acne, skin rash, pus filled pimples, blackheads,
2428,Acne, skin rash, pus filled pimples, scurring,
2429,Acne, skin rash, blackheads, scurring,
2430,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2431,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2432,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
2433,Urinary tract infection, burning micturition, foul smell of urine, continuous feel of urine,
2434,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
2435,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine,
2436,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2437,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
2438,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
2439,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
2440,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2441,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2442,Psoriasis, joint pain, skin peeling, silver like dusting, small dents in nails
2443,Psoriasis, skin rash, skin peeling, silver like dusting, small dents in nails
2444,Psoriasis, skin rash, joint pain, silver like dusting, small dents in nails
2445,Psoriasis, skin rash, joint pain, skin peeling, small dents in nails
2446,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2447,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2448,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2449,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2450,Impetigo, skin rash, high fever, blister, red sore around nose
2451,Impetigo, skin rash, high fever, blister, red sore around nose
2452,Impetigo, high fever, blister, red sore around nose, yellow crust ooze
2453,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
2454,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
2455,Impetigo, skin rash, high fever, red sore around nose, yellow crust ooze
2456,Impetigo, skin rash, high fever, blister, yellow crust ooze
2457,Impetigo, skin rash, high fever, blister, red sore around nose
2458,Impetigo, skin rash, high fever, blister, red sore around nose
2459,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
2460,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2461,Allergy, continuous sneezing, shivering, chills, watering from eyes
2462,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2463,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2464,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2465,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2466,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2467,Diabetes , fatigue, weight loss, restlessness, lethargy
2468,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2469,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2470,Hypertension , headache, chest pain, dizziness, loss of balance
2471,Migraine, acidity, indigestion, headache, blurred and distorted vision
2472,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2473,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2474,Jaundice,itching, vomiting, fatigue, weight loss
2475,Malaria, chills, vomiting, high fever, sweating
2476,Chicken pox,itching, skin rash, fatigue, lethargy
2477,Dengue, skin rash, chills, joint pain, vomiting
2478,Typhoid, chills, vomiting, fatigue, high fever
2479,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2480,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2481,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2482,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2483,Hepatitis E, joint pain, vomiting, fatigue, high fever
2484,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2485,Tuberculosis, chills, vomiting, fatigue, weight loss
2486,Common Cold, continuous sneezing, chills, fatigue, cough
2487,Pneumonia, chills, fatigue, cough, high fever
2488,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2489,Heart attack, vomiting, breathlessness, sweating, chest pain
2490,Varicose veins, fatigue, cramps, bruising, obesity
2491,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2492,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2493,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2494,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2495,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2496,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2497,Acne, skin rash, pus filled pimples, blackheads, scurring
2498,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2499,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2500,Impetigo, skin rash, high fever, blister, red sore around nose
2501,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2502,Allergy, continuous sneezing, shivering, chills, watering from eyes
2503,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2504,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2505,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2506,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2507,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2508,Diabetes , fatigue, weight loss, restlessness, lethargy
2509,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2510,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2511,Hypertension , headache, chest pain, dizziness, loss of balance
2512,Migraine, acidity, indigestion, headache, blurred and distorted vision
2513,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2514,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2515,Jaundice,itching, vomiting, fatigue, weight loss
2516,Malaria, chills, vomiting, high fever, sweating
2517,Chicken pox,itching, skin rash, fatigue, lethargy
2518,Dengue, skin rash, chills, joint pain, vomiting
2519,Typhoid, chills, vomiting, fatigue, high fever
2520,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2521,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2522,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2523,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2524,Hepatitis E, joint pain, vomiting, fatigue, high fever
2525,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2526,Tuberculosis, chills, vomiting, fatigue, weight loss
2527,Common Cold, continuous sneezing, chills, fatigue, cough
2528,Pneumonia, chills, fatigue, cough, high fever
2529,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2530,Heart attack, vomiting, breathlessness, sweating, chest pain
2531,Varicose veins, fatigue, cramps, bruising, obesity
2532,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2533,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2534,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2535,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2536,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2537,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2538,Acne, skin rash, pus filled pimples, blackheads, scurring
2539,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2540,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2541,Impetigo, skin rash, high fever, blister, red sore around nose
2542,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2543,Allergy, continuous sneezing, shivering, chills, watering from eyes
2544,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2545,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2546,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2547,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2548,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2549,Diabetes , fatigue, weight loss, restlessness, lethargy
2550,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2551,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2552,Hypertension , headache, chest pain, dizziness, loss of balance
2553,Migraine, acidity, indigestion, headache, blurred and distorted vision
2554,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2555,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2556,Jaundice,itching, vomiting, fatigue, weight loss
2557,Malaria, chills, vomiting, high fever, sweating
2558,Chicken pox,itching, skin rash, fatigue, lethargy
2559,Dengue, skin rash, chills, joint pain, vomiting
2560,Typhoid, chills, vomiting, fatigue, high fever
2561,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2562,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2563,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2564,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2565,Hepatitis E, joint pain, vomiting, fatigue, high fever
2566,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2567,Tuberculosis, chills, vomiting, fatigue, weight loss
2568,Common Cold, continuous sneezing, chills, fatigue, cough
2569,Pneumonia, chills, fatigue, cough, high fever
2570,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2571,Heart attack, vomiting, breathlessness, sweating, chest pain
2572,Varicose veins, fatigue, cramps, bruising, obesity
2573,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2574,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2575,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2576,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2577,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2578,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2579,Acne, skin rash, pus filled pimples, blackheads, scurring
2580,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2581,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2582,Impetigo, skin rash, high fever, blister, red sore around nose
2583,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2584,Allergy, continuous sneezing, shivering, chills, watering from eyes
2585,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2586,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2587,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2588,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2589,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2590,Diabetes , fatigue, weight loss, restlessness, lethargy
2591,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2592,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2593,Hypertension , headache, chest pain, dizziness, loss of balance
2594,Migraine, acidity, indigestion, headache, blurred and distorted vision
2595,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2596,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2597,Jaundice,itching, vomiting, fatigue, weight loss
2598,Malaria, chills, vomiting, high fever, sweating
2599,Chicken pox,itching, skin rash, fatigue, lethargy
2600,Dengue, skin rash, chills, joint pain, vomiting
2601,Typhoid, chills, vomiting, fatigue, high fever
2602,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2603,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2604,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2605,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2606,Hepatitis E, joint pain, vomiting, fatigue, high fever
2607,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2608,Tuberculosis, chills, vomiting, fatigue, weight loss
2609,Common Cold, continuous sneezing, chills, fatigue, cough
2610,Pneumonia, chills, fatigue, cough, high fever
2611,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2612,Heart attack, vomiting, breathlessness, sweating, chest pain
2613,Varicose veins, fatigue, cramps, bruising, obesity
2614,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2615,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2616,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2617,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2618,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2619,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2620,Acne, skin rash, pus filled pimples, blackheads, scurring
2621,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2622,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2623,Impetigo, skin rash, high fever, blister, red sore around nose
2624,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2625,Allergy, continuous sneezing, shivering, chills, watering from eyes
2626,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2627,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2628,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2629,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2630,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2631,Diabetes , fatigue, weight loss, restlessness, lethargy
2632,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2633,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2634,Hypertension , headache, chest pain, dizziness, loss of balance
2635,Migraine, acidity, indigestion, headache, blurred and distorted vision
2636,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2637,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2638,Jaundice,itching, vomiting, fatigue, weight loss
2639,Malaria, chills, vomiting, high fever, sweating
2640,Chicken pox,itching, skin rash, fatigue, lethargy
2641,Dengue, skin rash, chills, joint pain, vomiting
2642,Typhoid, chills, vomiting, fatigue, high fever
2643,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2644,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2645,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2646,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
2647,Hepatitis E, joint pain, vomiting, fatigue, high fever
2648,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
2649,Tuberculosis, chills, vomiting, fatigue, weight loss
2650,Common Cold, continuous sneezing, chills, fatigue, cough
2651,Pneumonia, chills, fatigue, cough, high fever
2652,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
2653,Heart attack, vomiting, breathlessness, sweating, chest pain
2654,Varicose veins, fatigue, cramps, bruising, obesity
2655,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
2656,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
2657,Hypoglycemia, vomiting, fatigue, anxiety, sweating
2658,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
2659,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
2660,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
2661,Acne, skin rash, pus filled pimples, blackheads, scurring
2662,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
2663,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
2664,Impetigo, skin rash, high fever, blister, red sore around nose
2665,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
2666,Allergy, continuous sneezing, shivering, chills, watering from eyes
2667,GERD, stomach pain, acidity, ulcers on tongue, vomiting
2668,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
2669,Drug Reaction,itching, skin rash, stomach pain, burning micturition
2670,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
2671,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
2672,Diabetes , fatigue, weight loss, restlessness, lethargy
2673,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
2674,Bronchial Asthma, fatigue, cough, high fever, breathlessness
2675,Hypertension , headache, chest pain, dizziness, loss of balance
2676,Migraine, acidity, indigestion, headache, blurred and distorted vision
2677,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
2678,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
2679,Jaundice,itching, vomiting, fatigue, weight loss
2680,Malaria, chills, vomiting, high fever, sweating
2681,Chicken pox,itching, skin rash, fatigue, lethargy
2682,Dengue, skin rash, chills, joint pain, vomiting
2683,Typhoid, chills, vomiting, fatigue, high fever
2684,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
2685,Hepatitis B,itching, fatigue, lethargy, yellowish skin
2686,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
2687,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
